"Type","Sao","Cung","Chi","Text"
"Phụ tinh","Đào Hoa","Quan Lộc","Ngọ","Đào Hoa tọa thủ tại Quan Lộc"
"Phụ tinh","Đào Hoa","Quan Lộc","Mùi","Đào Hoa tọa thủ tại Quan Lộc"
"Phụ tinh","Đào Hoa","Quan Lộc","Thân","Đào Hoa tọa thủ tại Quan Lộc"
"Phụ tinh","Đào Hoa","Quan Lộc","Dậu","Đào Hoa tọa thủ tại Quan Lộc"
"Phụ tinh","Đào Hoa","Quan Lộc","Tuất","Đào Hoa tọa thủ tại Quan Lộc"
"Phụ tinh","Đào Hoa","Quan Lộc","Hợi","Đào Hoa tọa thủ tại Quan Lộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Tý","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Sửu","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Dần","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Mão","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Thìn","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Tỵ","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Ngọ","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Mùi","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Thân","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Dậu","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Tuất","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Nô Bộc","Hợi","Đào Hoa tọa thủ tại Nô Bộc"
"Phụ tinh","Đào Hoa","Thiên Di","Tý","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Sửu","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Dần","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Mão","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Thìn","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Tỵ","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Ngọ","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Mùi","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Thân","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Dậu","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Tuất","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Thiên Di","Hợi","Đào Hoa tọa thủ tại Thiên Di"
"Phụ tinh","Đào Hoa","Tật Ách","Tý","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Sửu","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Dần","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Mão","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Thìn","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Tỵ","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Ngọ","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Mùi","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Thân","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Dậu","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Tuất","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tật Ách","Hợi","Đào Hoa tọa thủ tại Tật Ách"
"Phụ tinh","Đào Hoa","Tài Bạch","Tý","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Sửu","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Dần","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Mão","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Thìn","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Tỵ","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Ngọ","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Mùi","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Thân","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Dậu","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Tuất","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tài Bạch","Hợi","Đào Hoa tọa thủ tại Tài Bạch"
"Phụ tinh","Đào Hoa","Tử Tức","Tý","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Sửu","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Dần","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Mão","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Thìn","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Tỵ","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Ngọ","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Mùi","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Thân","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Dậu","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Tuất","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Tử Tức","Hợi","Đào Hoa tọa thủ tại Tử Tức"
"Phụ tinh","Đào Hoa","Phu Thê","Tý","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Sửu","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Dần","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Mão","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Thìn","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Tỵ","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Ngọ","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Mùi","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Thân","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Dậu","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Tuất","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Phu Thê","Hợi","Đào Hoa tọa thủ tại Phu Thê"
"Phụ tinh","Đào Hoa","Huynh Đệ","Tý","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Sửu","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Dần","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Mão","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Thìn","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Tỵ","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Ngọ","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Mùi","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Thân","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Dậu","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Tuất","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Đào Hoa","Huynh Đệ","Hợi","Đào Hoa tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Mệnh","Tý","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Sửu","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Dần","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Mão","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Thìn","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Tỵ","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Ngọ","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Mùi","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Thân","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Dậu","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Tuất","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Mệnh","Hợi","Thiên Hỷ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Tý","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Sửu","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Dần","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Mão","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Thìn","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Tỵ","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Ngọ","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Mùi","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Thân","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Dậu","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Tuất","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phụ Mẫu","Hợi","Thiên Hỷ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Tý","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Sửu","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Dần","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Mão","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Thìn","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Tỵ","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Ngọ","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Mùi","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Thân","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Dậu","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Tuất","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Phúc Đức","Hợi","Thiên Hỷ tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Tý","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Sửu","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Dần","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Mão","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Thìn","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Tỵ","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Ngọ","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Mùi","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Thân","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Dậu","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Tuất","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Điền Trạch","Hợi","Thiên Hỷ tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Tý","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Sửu","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Dần","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Mão","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Thìn","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Tỵ","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Ngọ","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Mùi","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Thân","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Dậu","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Tuất","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Quan Lộc","Hợi","Thiên Hỷ tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Tý","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Sửu","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Dần","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Mão","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Thìn","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Tỵ","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Ngọ","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Mùi","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Thân","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Dậu","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Tuất","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Nô Bộc","Hợi","Thiên Hỷ tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Hỷ","Thiên Di","Tý","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Sửu","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Dần","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Mão","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Thìn","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Tỵ","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Ngọ","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Mùi","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Thân","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Dậu","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Tuất","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Thiên Di","Hợi","Thiên Hỷ tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Hỷ","Tật Ách","Tý","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Sửu","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Dần","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Mão","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Thìn","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Tỵ","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Ngọ","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Mùi","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Thân","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Dậu","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Tuất","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tật Ách","Hợi","Thiên Hỷ tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Tý","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Sửu","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Dần","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Mão","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Thìn","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Tỵ","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Ngọ","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Mùi","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Thân","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Dậu","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Tuất","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tài Bạch","Hợi","Thiên Hỷ tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Hỷ","Tử Tức","Tý","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Sửu","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Dần","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Mão","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Thìn","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Tỵ","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Ngọ","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Mùi","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Thân","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Dậu","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Tuất","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Tử Tức","Hợi","Thiên Hỷ tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Hỷ","Phu Thê","Tý","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Sửu","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Dần","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Mão","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Thìn","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Tỵ","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Ngọ","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Mùi","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Thân","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Dậu","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Tuất","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Phu Thê","Hợi","Thiên Hỷ tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Tý","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Sửu","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Dần","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Mão","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Thìn","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Tỵ","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Ngọ","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Mùi","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Thân","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Dậu","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Tuất","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Hỷ","Huynh Đệ","Hợi","Thiên Hỷ tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Sứ","Mệnh","Tý","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Sửu","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Dần","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Mão","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Thìn","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Tỵ","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Ngọ","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Mùi","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Thân","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Dậu","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Tuất","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Mệnh","Hợi","Thiên Sứ tọa thủ tại Mệnh"
"Phụ tinh","Thiên Sứ","Phụ Mẫu","Tý","Thiên Sứ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Sứ","Phụ Mẫu","Sửu","Thiên Sứ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Sứ","Phụ Mẫu","Dần","Thiên Sứ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Sứ","Phụ Mẫu","Mão","Thiên Sứ tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Sứ","Phụ Mẫu","Thìn","Thiên Sứ tọa thủ tại Phụ Mẫu"
